"baker_name","series","episode","result","technical","signature_bake","show_stopper","baker_age","baker_occupation","hometown"
"Annetha Mills",1,1,"IN",2,"Light Jamaican Black Cakewith Strawberries and Cream","Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",30,"Midwife","Essex"
"Annetha Mills",1,2,"OUT",7,"Rose Petal Shortbread","Pink Swirl Macarons / Eclairs",30,"Midwife","Essex"
"David Chambers",1,1,"IN",3,"Chocolate Orange Cake","Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",31,"Entrepreneur","Milton Keynes"
"David Chambers",1,2,"IN",8,"Cheddar Cheese and Fresh Rosemary Biscuits","Choux Pastry Swans  Chocolate Profiteroles",31,"Entrepreneur","Milton Keynes"
"David Chambers",1,3,"IN",4,"Chilli Bread","Walnut and Seed Roll
Red Berry and Almond Bun",31,"Entrepreneur","Milton Keynes"
"David Chambers",1,4,"OUT",5,"Pear and Walnut Pudding","Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",31,"Entrepreneur","Milton Keynes"
"Edd Kimber",1,1,"IN",1,"Caramel Cinnamon and Banana Cake",NA,24,"Debt collector for Yorkshire Bank","Bradford"
"Edd Kimber",1,2,"IN",6,"Oatmeal Raisin Cookie","Pink Macarons",24,"Debt collector for Yorkshire Bank","Bradford"
"Edd Kimber",1,3,"IN",1,"Olive Bread","Tomato and Mozzarella",24,"Debt collector for Yorkshire Bank","Bradford"
"Edd Kimber",1,4,"IN",3,"Apple and Plum Pudding","Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",24,"Debt collector for Yorkshire Bank","Bradford"
"Edd Kimber",1,5,"IN",2,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",24,"Debt collector for Yorkshire Bank","Bradford"
"Edd Kimber",1,6,"WINNER",NA,"Cinnamon and Banana Cake","",24,"Debt collector for Yorkshire Bank","Bradford"
"Jasminder Randhawa",1,1,"IN",NA,"Fresh Mango and Passion Fruit Hummingbird Cake",NA,45,"Assistant Credit Control Manager","Birmingham"
"Jasminder Randhawa",1,2,"IN",2,"Millionaires' Shortbread","Meringues with Chocolate and Space DustCoffee flavoured Eclairs",45,"Assistant Credit Control Manager","Birmingham"
"Jasminder Randhawa",1,3,"IN",5,"Focaccia","Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",45,"Assistant Credit Control Manager","Birmingham"
"Jasminder Randhawa",1,4,"IN",2,"Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce","Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",45,"Assistant Credit Control Manager","Birmingham"
"Jasminder Randhawa",1,5,"OUT",4,"Chicken and Mushroom Pie","Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",45,"Assistant Credit Control Manager","Birmingham"
"Jonathan Shepherd",1,1,"IN",9,"Carrot Cake with Lime and Cream Cheese Icing","Three Tiered White and Dark Chocolate with Almond and Cherry",25,"Research Analyst","St Albans"
"Jonathan Shepherd",1,2,"IN",1,"Honey and Candied Ginger Cookies","Meringues with Whiskey Cream",25,"Research Analyst","St Albans"
"Jonathan Shepherd",1,3,"OUT",6,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",25,"Research Analyst","St Albans"
"Lea Harris",1,1,"OUT",10,"Cranberry and Pistachio Cakewith Orange Flower Water Icing","Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit",51,"Retired","Midlothian, Scotland"
"Louise Brimelow",1,1,"IN",NA,"Carrot and Orange Cake","Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",44,"Police Officer","Manchester"
"Louise Brimelow",1,2,"OUT",4,"Stained Glass Window Shortbread","Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",44,"Police Officer","Manchester"
"Mark Whithers",1,1,"OUT",NA,"Sticky Marmalade Tea Loaf","Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.",48,"Bus Driver","South Wales"
"Miranda Browne",1,1,"IN",8,"Triple Layered Brownie Meringue Cake
with Raspberry Cream","Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"Miranda Browne",1,2,"IN",3,"Fresh Vanilla Biscuits with Royal Icing","Pistachio Macarons",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"Miranda Browne",1,3,"IN",3,"Walnut and Apricot Bread","Lemon Iced Buns
Chocolate and Orange Buns",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"Miranda Browne",1,4,"IN",1,"Sticky Toffee Pudding","Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"Miranda Browne",1,5,"IN",1,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"Miranda Browne",1,6,"Runner-up",NA,"Lemon Cupcake","Eliminated after signature",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"Ruth Clemens",1,1,"IN",NA,"Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd","Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles",31,"Retail manager/Housewife","Poynton, Cheshire"
"Ruth Clemens",1,2,"IN",5,"Peanut Shortbread withSalted Peanut Caramel","Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs",31,"Retail manager/Housewife","Poynton, Cheshire"
"Ruth Clemens",1,3,"IN",2,"Maple and Pecan Bread","Chocolate and Orange Panettone
Cranberry Bagels",31,"Retail manager/Housewife","Poynton, Cheshire"
"Ruth Clemens",1,4,"IN",4,"Peach and Blueberry Boy Bait","Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",31,"Retail manager/Housewife","Poynton, Cheshire"
"Ruth Clemens",1,5,"IN",3,"Minced Beef Pie","Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",31,"Retail manager/Housewife","Poynton, Cheshire"
"Ruth Clemens",1,6,"Runner-up",NA,"Mint, Ginger and Blackberry Cake","",31,"Retail manager/Housewife","Poynton, Cheshire"
"Ben Frazer",2,1,"IN",2,"Rhubarb and Custard CupcakesAfter Dinner Cupcakes","Vanilla Sponge with White Chocolate and Raspberry Buttercream",31,"Graphic Designer","Northampton"
"Ben Frazer",2,2,"IN",1,"Chorizo, Pepper and Gruyere Quiche","Lemon Meringue Tarts",31,"Graphic Designer","Northampton"
"Ben Frazer",2,3,"IN",3,"Walnut, Raisin and Rosemary Loaf","UNKNOWN",31,"Graphic Designer","Northampton"
"Ben Frazer",2,4,"OUT",5,"Stem Ginger Nuts","Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons",31,"Graphic Designer","Northampton"
"Holly Bell",2,1,"STAR BAKER",1,"Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle","UNKNOWN",31,"Advertising executive","Leicester"
"Holly Bell",2,2,"IN",4,"Pesto Quiche","Milk Chocolate and Pistachio TartsTrifle Tarts",31,"Advertising executive","Leicester"
"Holly Bell",2,3,"IN",6,"Picnic Loaf","Stilton and Walnut Rolls",31,"Advertising executive","Leicester"
"Holly Bell",2,4,"STAR BAKER",3,"Strawberry and Custard Melts","'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",31,"Advertising executive","Leicester"
"Holly Bell",2,5,"IN",4,"Stilton, Potato and Caramelised Onion Pie","Lime Meringue Pie",31,"Advertising executive","Leicester"
"Holly Bell",2,6,"IN",3,"Father Christmas' Baked Cheesecake","Hansel and Gretel's Croquembouche",31,"Advertising executive","Leicester"
"Holly Bell",2,7,"IN",1,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",31,"Advertising executive","Leicester"
"Holly Bell",2,8,"Runner-up",2,"Banoffee Inspired Mille Feuille","Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich",31,"Advertising executive","Leicester"
"Ian Vallance",2,1,"IN",10,"Apple and Cinnamon Cupcakes","UNKNOWN",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
"Ian Vallance",2,2,"IN",2,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry","UNKNOWN",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
"Ian Vallance",2,3,"OUT",10,"Courgette, Caerphilly Cheese and Thyme Loaf","Walnut and Raisin RollsCracked Wheat Logs",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
"Janet Basu",2,1,"IN",8,"Raspberry and Cream Cupcakes","Chocolate Marble Cakewith Dark and White Chocolate Truffles",63,"Teacher of Modern Languages","Formby, Liverpool"
"Janet Basu",2,2,"IN",8,"Quiche Printanière","Red Fruit TartsChocolate and Cherry Tarts",63,"Teacher of Modern Languages","Formby, Liverpool"
"Janet Basu",2,3,"IN",8,"Zupfe Loaf with Gruyère Cheese","Apple and Walnut Granary Rolls Red Onion Cottage Rolls",63,"Teacher of Modern Languages","Formby, Liverpool"
"Janet Basu",2,4,"IN",4,"Christmas Marzipan Biscuits","Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",63,"Teacher of Modern Languages","Formby, Liverpool"
"Janet Basu",2,5,"STAR BAKER",1,"Chicken and Chestnut Pie","Rhubarb Meringue Pie",63,"Teacher of Modern Languages","Formby, Liverpool"
"Janet Basu",2,6,"IN",5,"Rhubarb and Ginger Baked Cheesecake","Orange and Nougatine Croquembouche",63,"Teacher of Modern Languages","Formby, Liverpool"
"Janet Basu",2,7,"OUT",4,"Chocolate Amaretto Mousse Cake","Pain Aux RaisinPlain CroissantPain Au Chocolat",63,"Teacher of Modern Languages","Formby, Liverpool"
"Jason White",2,1,"IN",6,"Lemon Meringue CupcakesApple and Cinnamon Cupcakes","UNKNOWN",19,"Civil Engineering Student","Croydon"
"Jason White",2,2,"STAR BAKER",3,"Salmon and Pak Choi Quiche","Mint Chocolate Tarts Blueberry Bakewell Tarts",19,"Civil Engineering Student","Croydon"
"Jason White",2,3,"IN",7,"Cheese and Onion Tear and Share Loaf","UNKNOWN",19,"Civil Engineering Student","Croydon"
"Jason White",2,4,"STAR BAKER",1,"Lebkuchen","Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",19,"Civil Engineering Student","Croydon"
"Jason White",2,5,"OUT",7,"Brown Down Chicken Pie","Plum Meringue Pie",19,"Civil Engineering Student","Croydon"
"Keith Batsford",2,1,"OUT",12,"Earl Grey Cupcakes","Chocolate and Sour Cream Cake",31,"House husband","Arlesey, Bedfordshire"
"Mary-Anne Boermans",2,1,"IN",4,"Banoffee Cupcakes","Chocolate and Raspberry Opera cake",45,"Housewife","Kidderminster, Worcestershire"
"Mary-Anne Boermans",2,2,"IN",9,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche","Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts",45,"Housewife","Kidderminster, Worcestershire"
"Mary-Anne Boermans",2,3,"IN",5,"Ploughman's Loaf","Herb and Walnut BreadsChocolate and Chilli Buns",45,"Housewife","Kidderminster, Worcestershire"
"Mary-Anne Boermans",2,4,"IN",2,"Melting Moments","Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons",45,"Housewife","Kidderminster, Worcestershire"
"Mary-Anne Boermans",2,5,"IN",2,"Chicken and Bacon Pie","Midnight Meringue",45,"Housewife","Kidderminster, Worcestershire"
"Mary-Anne Boermans",2,6,"IN",4,"Tutti Fruitti Curd Baked Cheesecake","Orange and Praline Croquembouche with Cardamom Caramel",45,"Housewife","Kidderminster, Worcestershire"
"Mary-Anne Boermans",2,7,"IN",2,"Chocolate and Orange Mousse Cake","Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes",45,"Housewife","Kidderminster, Worcestershire"
"Mary-Anne Boermans",2,8,"Runner-up",3,"Lemon and Ginger Mille Feuille","Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub",45,"Housewife","Kidderminster, Worcestershire"
"Robert Billington",2,1,"IN",3,"Blackberry and Vanilla Cupcakeswith Liquorice Frosting","Genoise Layered Mousse Cakewith Chocolate Ganache",25,"Photographer","London"
"Robert Billington",2,2,"IN",5,"Smoked Bacon and Kale Quiche","Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",25,"Photographer","London"
"Robert Billington",2,3,"IN",4,"Rye and Coriander Seed Loaf","Blueberry Brioche RollsLemon and Poppy Seed Rolls",25,"Photographer","London"
"Robert Billington",2,4,"IN",7,"Chocolate and Ginger Oat Biscuits","Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons",25,"Photographer","London"
"Robert Billington",2,5,"OUT",3,"Chicken and Mushroom Pie","Rhubarb and Custard Meringue Pie",25,"Photographer","London"
"Simon Blackwell",2,1,"IN",9,"Guinness and Chocolate Cupcakes","Two-Tiered Chocolate Courgette Cake",31,"Rugby Coach","Norfolk"
"Simon Blackwell",2,2,"OUT",11,"Smoked Haddock and Watercress Quiche","Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",31,"Rugby Coach","Norfolk"
"Urvashi Roe",2,1,"IN",7,"Cherry Blossom CupcakesJapanese Lime Cupcakes","UNKNOWN",40,"Head of Marketing","Enfield, London"
"Urvashi Roe",2,2,"IN",7,"Crab, Coriander and Coconut Quiche","Strawberry and Basil TartsElderflower and Honeycomb Tarts",40,"Head of Marketing","Enfield, London"
"Urvashi Roe",2,3,"OUT",9,"Salt and Peppercorn Loaf","Chilli and Halloumi RollsLemon and Coriander Mini Loaves",40,"Head of Marketing","Enfield, London"
"Yasmin Limbert",2,1,"IN",5,"Cardamom and Pomegranate Cupcakes","UNKNOWN",43,"Childminder","West Kirby, The Wirral"
"Yasmin Limbert",2,2,"IN",6,"Smoked Haddock and Watercress Quiche","Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts",43,"Childminder","West Kirby, The Wirral"
"Yasmin Limbert",2,3,"STAR BAKER",2,"Egyptian Dukkah Loaf with Mixed Spices","Pesto Bread
Sweet Coconut Rolls",43,"Childminder","West Kirby, The Wirral"
"Yasmin Limbert",2,4,"IN",6,"Chocolate Chip and Pistachio Biscotti","Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons",43,"Childminder","West Kirby, The Wirral"
"Yasmin Limbert",2,5,"IN",5,"Family Fish Pie","Peach and Raspberry Meringue Pie",43,"Childminder","West Kirby, The Wirral"
"Yasmin Limbert",2,6,"OUT",2,"Baked Amaretto Cheesecake","Rose Croquembouche",43,"Childminder","West Kirby, The Wirral"
NA,2,1,"IN",11,NA,NA,NA,NA,NA
NA,2,2,"IN",10,NA,NA,NA,NA,NA
NA,2,3,"IN",1,NA,NA,NA,NA,NA
NA,2,4,"IN",8,NA,NA,NA,NA,NA
NA,2,5,"IN",6,NA,NA,NA,NA,NA
NA,2,6,"STAR BAKER",1,NA,NA,NA,NA,NA
NA,2,7,"IN",3,NA,NA,NA,NA,NA
NA,2,8,"WINNER",1,NA,NA,NA,NA,NA
"Brendan Lynch",3,1,"IN",10,"Plum, Sour Cherry & Walnut","UNKNOWN",63,"Recruitment consultant","Sutton Coldfield"
"Brendan Lynch",3,2,"IN",4,"Middle Eastern Taboon BreadIndian Rotis","Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",63,"Recruitment consultant","Sutton Coldfield"
"Brendan Lynch",3,3,"IN",9,"Apple and Ginger Tarte Tatin","Blackberry, Nectarine and Dragon Fruit Tart",63,"Recruitment consultant","Sutton Coldfield"
"Brendan Lynch",3,4,"STAR BAKER",1,"Clementine and Chestnut Torte","Pear, Chocolate and Hazelnut Dacquoise",63,"Recruitment consultant","Sutton Coldfield"
"Brendan Lynch",3,5,"IN",3,"Salmon Coulibiac in a Scandinavian Pastry","All American Chiffon Pie",63,"Recruitment consultant","Sutton Coldfield"
"Brendan Lynch",3,6,"STAR BAKER",1,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",63,"Recruitment consultant","Sutton Coldfield"
"Brendan Lynch",3,7,"IN",4,"Chelsea Bunskis","Black Forest Christmas Stollen",63,"Recruitment consultant","Sutton Coldfield"
"Brendan Lynch",3,8,"IN",2,"Multi-Seed Savoury Crackers","Fantasy Gingerbread Bird House",63,"Recruitment consultant","Sutton Coldfield"
"Brendan Lynch",3,9,"IN",3,"Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets","Gateau St. Honoré",63,"Recruitment consultant","Sutton Coldfield"
"Brendan Lynch",3,10,"Runner-up",2,"Potato and Pepper Pithivier","Family Reunion Chiffon Cake",63,"Recruitment consultant","Sutton Coldfield"
"Cathryn Dresser",3,1,"IN",5,"Apple, Hazelnut and Calvados","Hidden Cupcake Cake",27,"Shop assistant","Pease Pottage, West Sussex"
"Cathryn Dresser",3,2,"IN",8,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",27,"Shop assistant","Pease Pottage, West Sussex"
"Cathryn Dresser",3,3,"IN",3,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",27,"Shop assistant","Pease Pottage, West Sussex"
"Cathryn Dresser",3,4,"IN",3,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",27,"Shop assistant","Pease Pottage, West Sussex"
"Cathryn Dresser",3,5,"IN",1,"Full English Wellington","Chocolate and Peanut Butter Pumpkin Pie",27,"Shop assistant","Pease Pottage, West Sussex"
"Cathryn Dresser",3,6,"IN",3,"Chocolate Walnut Whip Puddings
Elderflower Sponges","Roasted Vegetable Couscous and Sheep Cheese Strudel",27,"Shop assistant","Pease Pottage, West Sussex"
"Cathryn Dresser",3,7,"IN",5,"Lady Arundel's Manchet Buns","Bonfire Night Tear 'n' Share Brioche",27,"Shop assistant","Pease Pottage, West Sussex"
"Cathryn Dresser",3,8,"OUT",5,"Cheese and Pickle Crackers","Gingerbread Buckingham Palace",27,"Shop assistant","Pease Pottage, West Sussex"
"Danny Bryden",3,1,"IN",7,"Plum, Ginger & Orange","UNKNOWN",45,"Intensive care consultant","Sheffield"
"Danny Bryden",3,2,"IN",3,"Lime Coriander and Coconut TortillasZaatar Naan with Dukkah","UNKNOWN",45,"Intensive care consultant","Sheffield"
"Danny Bryden",3,3,"IN",2,"Savoury Pear and Roquefort Tarte Tatin","Pineapple, Coconut and Frangipane Tart",45,"Intensive care consultant","Sheffield"
"Danny Bryden",3,4,"IN",2,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",45,"Intensive care consultant","Sheffield"
"Danny Bryden",3,5,"IN",7,"Chickpea, Spinach & Mushroom Wellington","Trick or Treat Pumpkin Pie",45,"Intensive care consultant","Sheffield"
"Danny Bryden",3,6,"IN",2,"Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants","Leek, Potato, Pistachio and Gruyère Strudel",45,"Intensive care consultant","Sheffield"
"Danny Bryden",3,7,"STAR BAKER",2,"Bakewell Chelsea Buns","European Christmas Wreath",45,"Intensive care consultant","Sheffield"
"Danny Bryden",3,8,"IN",4,"Spiced Almond Drinks Crackers","Gingerbread Big Ben",45,"Intensive care consultant","Sheffield"
"Danny Bryden",3,9,"OUT",4,"Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat","Rosewater and Lychee St. Honoré",45,"Intensive care consultant","Sheffield"
"James Morton",3,1,"IN",2,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake",21,"Medical student","Hillswick, Shetland Islands"
"James Morton",3,2,"IN",2,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",21,"Medical student","Hillswick, Shetland Islands"
"James Morton",3,3,"STAR BAKER",1,"Apple and Lavender Tarte Tatin","Rose, Lychee and Raspberry Fruit Tart",21,"Medical student","Hillswick, Shetland Islands"
"James Morton",3,4,"IN",5,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue",21,"Medical student","Hillswick, Shetland Islands"
"James Morton",3,5,"IN",6,"Four Pig Wellington","Sweet Potato Pie",21,"Medical student","Hillswick, Shetland Islands"
"James Morton",3,6,"IN",7,"Banana and Clove PuddingsClootie Dumplings","Strawberry, Rhubarb and Ginger Strudel",21,"Medical student","Hillswick, Shetland Islands"
"James Morton",3,7,"IN",1,"Easter Chelsea Buns","Whisky Kugelhopf-Brioche Baba",21,"Medical student","Hillswick, Shetland Islands"
"James Morton",3,8,"STAR BAKER",1,"Smoky Cayenne, Cumin and Chilli Crackers","Gingerbread Barn",21,"Medical student","Hillswick, Shetland Islands"
"James Morton",3,9,"STAR BAKER",1,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest",21,"Medical student","Hillswick, Shetland Islands"
"James Morton",3,10,"Runner-up",1,"Spanish Pithivier with Chorizo and Red Pepper","United Chiffon Cakes",21,"Medical student","Hillswick, Shetland Islands"
"John Whaite",3,1,"IN",11,"Toffee Apple, Orange & Cranberry","Hidden Pink Hearts Cake",22,"Law student","Wigan"
"John Whaite",3,2,"STAR BAKER",1,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",22,"Law student","Wigan"
"John Whaite",3,3,"IN",6,"Apple and Vanilla Tarte Tatin with Walnut Praline","Berries, Grapes, Pomegranate, and Dragon Fruit Tart",22,"Law student","Wigan"
"John Whaite",3,4,"IN",6,"'Torte Noir' Black Forest Torte with Boozy Cream","Elderflower and Bramble Berry Pavlova",22,"Law student","Wigan"
"John Whaite",3,5,"IN",2,"Venison and Haggis Wellington","Star-Spangled Pecan Pie",22,"Law student","Wigan"
"John Whaite",3,6,"IN",5,"Spicy Toffee PuddingsRaspberry and White Chocolate Puddings","Did not complete due to injury",22,"Law student","Wigan"
"John Whaite",3,7,"IN",3,"Cherry and Almond Saffron Buns","Marzipan Stollen",22,"Law student","Wigan"
"John Whaite",3,8,"IN",3,"Asian Spice Crackers","Gingerbread Roman Coliseum",22,"Law student","Wigan"
"John Whaite",3,9,"IN",2,"Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons","Gateau St. Honoré a la Passion",22,"Law student","Wigan"
"John Whaite",3,10,"WINNER",2,"Italian Sausage and Roasted Vegetable Pithivier","Heaven and Hell Chiffon Cake",22,"Law student","Wigan"
"Manisha Parmar",3,1,"IN",6,"Vanilla, Peach and Raspberry","White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart",27,"Nursery nurse","Leicester"
"Manisha Parmar",3,2,"IN",6,"Indian FlatbreadsItalian Flatbreads","UNKNOWN",27,"Nursery nurse","Leicester"
"Manisha Parmar",3,3,"IN",10,"Cinnamon, Apple and Pear Tarte Tatin","Rum and Tropical Fruit Tart",27,"Nursery nurse","Leicester"
"Manisha Parmar",3,4,"IN",9,"Almond, Chocolate and Cherry Torte","Tiramisu Layered Meringue Dessert",27,"Nursery nurse","Leicester"
"Manisha Parmar",3,5,"OUT",5,"Lamb Wellington with Rosemary and Mint","Banana Scotch Pie",27,"Nursery nurse","Leicester"
"Natasha Stringer",3,1,"OUT",12,"Pineapple & Passion Fruit","Mother's Day Layered Rose Cake",36,"Midwife","Tamworth, Staffordshire"
"Peter Maloney",3,1,"IN",3,"Pear, Muscat & Chocolate","Jubilee Cake",43,"Sales manager","Windsor, Berkshire"
"Peter Maloney",3,2,"OUT",11,"Fennel and Nigella Seed NaanBannock Bread","Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",43,"Sales manager","Windsor, Berkshire"
"Ryan Chong",3,1,"IN",8,"Kumquat and Orange Polenta","Hidden Flowerbed Mousse Cake",38,"Photographer","Bristol"
