"baker_name","series","episode","result","technical","signature_bake","show_stopper","baker_age","baker_occupation","hometown"
"Ryan Chong",3,2,"IN",5,"Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan","Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",38,"Photographer","Bristol"
"Ryan Chong",3,3,"IN",5,"Spiced Pear Tarte Tatin","UNKNOWN",38,"Photographer","Bristol"
"Ryan Chong",3,4,"IN",7,"Green Tea Opera Torte","Strawberry, Rose and Pistachio Meringue",38,"Photographer","Bristol"
"Ryan Chong",3,5,"STAR BAKER",8,"Curry Spiced Seabass Wellington","Key Lime Pie",38,"Photographer","Bristol"
"Ryan Chong",3,6,"IN",6,"Chocolate FondantsSticky Ginger and Date Puddings","Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",38,"Photographer","Bristol"
"Ryan Chong",3,7,"OUT",6,"Lardy Cakes","Char Siu Bao",38,"Photographer","Bristol"
"Sarah-Jane Willis",3,1,"IN",1,"Pear, Chocolate and Hazelnut","Hidden Crown Cake",28,"Vicar's wife","Bewbush, West Sussex"
"Sarah-Jane Willis",3,2,"IN",10,"Toasted Coconut and Lime RotisOatcakes","UNKNOWN",28,"Vicar's wife","Bewbush, West Sussex"
"Sarah-Jane Willis",3,3,"IN",8,"Caramelised Banana Tarte Tatin","French Apple Tart with Blackberry and Cassis Jam",28,"Vicar's wife","Bewbush, West Sussex"
"Sarah-Jane Willis",3,4,"IN",4,"Chocolate and Almond Truffle Torte","Hazelnut Tiramisu Layered Meringue",28,"Vicar's wife","Bewbush, West Sussex"
"Sarah-Jane Willis",3,5,"IN",4,"Beef Wellington with Parma Ham and Gorgonzola Cheese","Chocolate and Banana Cream Pie",28,"Vicar's wife","Bewbush, West Sussex"
"Sarah-Jane Willis",3,6,"IN",4,"Sticky Toffee PuddingsGranny's Saucy Lemon Puddings","Sweet Strudel with Sour Cherries",28,"Vicar's wife","Bewbush, West Sussex"
"Sarah-Jane Willis",3,7,"OUT",7,"Orange, Nutmeg and Saffron Buns","Sour Cherry and Dark Chocolate Christmas Plait",28,"Vicar's wife","Bewbush, West Sussex"
"Stuart Marston-Smith",3,1,"IN",9,"Tomato and Ginger","Lemon and Pistachio Union Flag Cake",26,"PE teacher","Lichfield, Staffordshire"
"Stuart Marston-Smith",3,2,"IN",9,"Bombay BreadChorizo and Spring Onion Naan","Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",26,"PE teacher","Lichfield, Staffordshire"
"Stuart Marston-Smith",3,3,"IN",7,"Pear and Almond Tarte Tatin","Raspberry Triple Chocolate Layered Tart",26,"PE teacher","Lichfield, Staffordshire"
"Stuart Marston-Smith",3,4,"OUT",8,"Black Forest Torte","Choca Blocka Mocha Meringue",26,"PE teacher","Lichfield, Staffordshire"
"Victoria Chester",3,1,"STAR BAKER",4,"Pear and Pecan","Blackbird Pie Cake",50,"CEO of the charity Plantlife","Somerset"
"Victoria Chester",3,2,"IN",7,"Coriander and Lemon NaanGarlic and Parsnip Chapatis","Saffron and Golden Raisin Bagels
Porcini Bagels",50,"CEO of the charity Plantlife","Somerset"
"Victoria Chester",3,3,"OUT",4,"Fig, Walnut and Pink Peppercorn Tarte Tatin","Tropical Fruit Tart with Black Pepper Crust",50,"CEO of the charity Plantlife","Somerset"
"Ali Imdad",4,1,"IN",11,"Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",25,"Charity worker","Saltley, Birmingham"
"Ali Imdad",4,2,"IN",9,"Italian Grissini","Sweet and Savoury Yin Yang Bread",25,"Charity worker","Saltley, Birmingham"
"Ali Imdad",4,3,"IN",5,"Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",25,"Charity worker","Saltley, Birmingham"
"Ali Imdad",4,4,"OUT",8,"Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",25,"Charity worker","Saltley, Birmingham"
"Beca Lyne-Pirkis",4,1,"IN",8,"Grapefruit Sandwich Cake","Chocolate Cherry Indulgence",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"Beca Lyne-Pirkis",4,2,"IN",11,"Fennel and Chilli Breadsticks","Five Strand Christmas Wreath",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"Beca Lyne-Pirkis",4,3,"IN",10,"Orange and Ginger Trifle","Limoncello and Blueberry BurstsMillionaire Shortbread",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"Beca Lyne-Pirkis",4,4,"IN",2,"Mamgu's Cherry-Apple Tart","Moroccan Vegetable Filo Feast",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"Beca Lyne-Pirkis",4,5,"IN",5,"Chocolate, Cherry and Hazelnut Brownies","Tiered Macaron and Sugar Dough Biscuit Centrepiece",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"Beca Lyne-Pirkis",4,6,"IN",6,"Bara Brith","Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"Beca Lyne-Pirkis",4,7,"IN",1,"Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy","Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"Beca Lyne-Pirkis",4,8,"IN",4,"Potato, Spelt and Rosemary Focaccia","Spiced Butternut Squash and Pecan 'Cheese' Cake",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"Beca Lyne-Pirkis",4,9,"OUT",3,"Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets","Banoffee Opera Cake",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"Christine Wallace",4,1,"IN",3,"Strawberry, Vanilla and Rosewater Summer Basket","Chocolate and Orange 'Fripperous' Hat Cake",66,"Director of an engraving company","Didcot, Oxfordshire"
"Christine Wallace",4,2,"IN",4,"Mediterranean Breadsticks with Oregano","Double Plaited Loaf",66,"Director of an engraving company","Didcot, Oxfordshire"
"Christine Wallace",4,3,"STAR BAKER",4,"Caribbean Pina Colada Trifle","Ninety-NinersSachertorte Parcels",66,"Director of an engraving company","Didcot, Oxfordshire"
"Christine Wallace",4,4,"IN",7,"Granny Rogers' Apple, Plum & Cinnamon Country Pie","Roasted Vegetable Filo Pie with Feta Cheese",66,"Director of an engraving company","Didcot, Oxfordshire"
"Christine Wallace",4,5,"STAR BAKER",1,"Mixed Berry and Almond Crumble Traybake","Shortbread Bavarian Clock Tower",66,"Director of an engraving company","Didcot, Oxfordshire"
"Christine Wallace",4,6,"IN",4,"Oxford Nutty Fruit Loaf","Schnecken BunsVanilla Custard Skolebrød",66,"Director of an engraving company","Didcot, Oxfordshire"
"Christine Wallace",4,7,"IN",6,"Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream","Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille",66,"Director of an engraving company","Didcot, Oxfordshire"
"Christine Wallace",4,8,"OUT",5,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds","Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant",66,"Director of an engraving company","Didcot, Oxfordshire"
"Deborah Manger",4,1,"IN",9,"Pineapple Cake","'Coffee Time'",51,"Dentist","Peterborough"
"Deborah Manger",4,2,"IN",8,"Fennel & Chilli Breadsticks","Walnut Fleur Loaf",51,"Dentist","Peterborough"
"Deborah Manger",4,3,"OUT",9,"Tropical Trifle*","Canelé Cherry and Chocolate CakesRose Cookies",51,"Dentist","Peterborough"
"Frances Quinn",4,1,"IN",7,"Giant Jam Sandwich","Secret Squirrel Cake",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"Frances Quinn",4,2,"IN",2,"Giant Matchsticks","Sailor's Knot",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"Frances Quinn",4,3,"IN",8,"Apple and Blackberry Crumble Trifle","'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"Frances Quinn",4,4,"IN",1,"Peach Pie In the Sky","Cherry Tree Baklava Filo Pie",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"Frances Quinn",4,5,"IN",3,"Millionaire Banoffee Bonus","Biscuit Buttons and Beads",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"Frances Quinn",4,6,"IN",2,"Chai Tea Loaf","Hot Cross BriochesRhubarb and Custard Kolaches",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"Frances Quinn",4,7,"STAR BAKER",5,"Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream","French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"Frances Quinn",4,8,"IN",3,"'Chelsea Flour Show' Bun Bouquet","Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"Frances Quinn",4,9,"IN",2,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones","Great British Soap Opera Cake",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"Frances Quinn",4,10,"WINNER",3,"Rainbow Picnic Pie","Midsummer Night's Dream Wedding Cake",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"Glenn Cosby",4,1,"IN",4,"Strawberries and Cream Cake","Almond and Espresso Chocolate Cake",37,"English Teacher","Teignmouth, Devon"
"Glenn Cosby",4,2,"IN",7,"Rosemary and Parmesan Grissini","Harvest Crown",37,"English Teacher","Teignmouth, Devon"
"Glenn Cosby",4,3,"IN",1,"Raspberry and Almond Trifle","Billionaire BouchéesOrange Financiers",37,"English Teacher","Teignmouth, Devon"
"Glenn Cosby",4,4,"IN",9,"Apple & Maple Syrup Pie","Spanakopita (Walnut and Feta Cheese)",37,"English Teacher","Teignmouth, Devon"
"Glenn Cosby",4,5,"IN",2,"Apricot and Pistachio Tiffin","Shortbread and Macaron Helter-Skelter",37,"English Teacher","Teignmouth, Devon"
"Glenn Cosby",4,6,"IN",5,"Devonshire Panettone","Almond and Apricot BriochesSticky Caramel Kanelbullen",37,"English Teacher","Teignmouth, Devon"
"Glenn Cosby",4,7,"OUT",3,"Prune and Armagnac Puddingwith Boozy Butterscotch Sauce","Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille",37,"English Teacher","Teignmouth, Devon"
"Howard Middleton",4,1,"IN",6,"Passion Fruit and Coconut Cake","Black Forest Revisited",51,"Council Worker","Sheffield"
"Howard Middleton",4,2,"IN",10,"Moroccan Breadsticks","Picasso Sun Bread",51,"Council Worker","Sheffield"
"Howard Middleton",4,3,"IN",7,"Caramel and Apple Trifle*","Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits",51,"Council Worker","Sheffield"
"Howard Middleton",4,4,"IN",5,"Apple Pie with Sage Pastry","Fresh Fig and Feta Filo Flan",51,"Council Worker","Sheffield"
"Howard Middleton",4,5,"IN",8,"Breakfast Traybake","Japanese Pagoda Tea Tower",51,"Council Worker","Sheffield"
"Howard Middleton",4,6,"OUT",7,"Date & Hemp Yorkshire Loaf","Peachy BunsGerman Baumschnecken",51,"Council Worker","Sheffield"
"Kimberley Wilson",4,1,"IN",10,"Blood Orange Cake","Chocolate, Raspberry & Basil Layer Cake",30,"Psychologist","London"
"Kimberley Wilson",4,2,"IN",1,"Nigella Seed and Parmesan Breadsticks","Peace Bread",30,"Psychologist","London"
"Kimberley Wilson",4,3,"IN",6,"Peach, Almond and Ginger Trifle","Chocolate Pistachio FinanciersLemon Bergamot Biscuits",30,"Psychologist","London"
"Kimberley Wilson",4,4,"STAR BAKER",4,"Pecan and Rosemary Caramel Apple Pie","Chicken, Bacon and Butternut Squash Pie",30,"Psychologist","London"
"Kimberley Wilson",4,5,"IN",7,"Cherry and Almond Bakewell Florentine Slice","Black and White Viennese Biscuit Stack",30,"Psychologist","London"
"Kimberley Wilson",4,6,"IN",3,"Chai Spiced Ginger and Date Tea Loaf","Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer",30,"Psychologist","London"
"Kimberley Wilson",4,7,"IN",4,"Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard","Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",30,"Psychologist","London"
"Kimberley Wilson",4,8,"IN",2,"Wild Garlic Pesto and Parma Ham Spelt Loaf","Butternut Squash and Spice Cake Toadstool House",30,"Psychologist","London"
"Kimberley Wilson",4,9,"STAR BAKER",1,"Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken","Passion Fruit and Lime Opera Cake",30,"Psychologist","London"
"Kimberley Wilson",4,10,"Runner-up",1,"Chicken and Pig Pie","Languages of Love Wedding Cake",30,"Psychologist","London"
"Lucy Bellamy",4,1,"IN",2,"Timperley Early Cake","Thyme 'Wildwood' Cake",38,"Horticulturist","Grimsby, Lincolnshire"
"Lucy Bellamy",4,2,"OUT",12,"Grissini with Salt","Roast Tomato Bread",38,"Horticulturist","Grimsby, Lincolnshire"
"Mark Onley",4,1,"IN",5,"Lemon and Poppy Seed Cake","Chocolate Monster",37,"Carpenter and Kitchen Fitter","Milton Keynes"
"Mark Onley",4,2,"IN",6,"Rosemary & Raisin Breadsticks","Sage & Garlic Plait",37,"Carpenter and Kitchen Fitter","Milton Keynes"
"Mark Onley",4,3,"OUT",11,"Ginger, Mango and Passion Fruit Trifle","Rose and Pistachio MacaroonsChocolate and Raspberry Bites",37,"Carpenter and Kitchen Fitter","Milton Keynes"
"Robert Smart",4,1,"STAR BAKER",1,"Pecan and Apple Cake","Raspberry Chocolate Cake",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"Robert Smart",4,2,"IN",5,"Twisty Rye Bread Sticks","Tribute Loaf",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"Robert Smart",4,3,"IN",2,"Rhubarb and Orange Trifle","Almond FriandsTurǫn Macaroons",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"Robert Smart",4,4,"IN",3,"Apple and Pear Pie with Thyme","Spanakopita with St George's Mushrooms",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"Robert Smart",4,5,"OUT",4,"Blueberry & Orange Traybake","Dalek",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"Ruby Tandoh",4,1,"IN",12,"Rhubarb and Custard Sandwich Cake","Chocolate and Ginger Night Sky Cake",20,"History of Art and Philosophy Student","Southend, Essex"
"Ruby Tandoh",4,2,"STAR BAKER",3,"Mexican Breadsticks","White Chocolate and Orange Peacock Bread",20,"History of Art and Philosophy Student","Southend, Essex"
"Ruby Tandoh",4,3,"IN",3,"Desert Island Trifle","Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes",20,"History of Art and Philosophy Student","Southend, Essex"
"Ruby Tandoh",4,4,"IN",6,"Apple and Marzipan Pie","Rose, Almond and Raspberry Filo Pie",20,"History of Art and Philosophy Student","Southend, Essex"
"Ruby Tandoh",4,5,"IN",6,"Blackberry and Lemon Bakewell Slice","'Dropped Ice-Cream' Biscuit Centrepiece",20,"History of Art and Philosophy Student","Southend, Essex"
"Ruby Tandoh",4,6,"STAR BAKER",1,"Citrus Tea Loaf","Twisted Swedish KanelbullarSaffron St. Lucia Buns",20,"History of Art and Philosophy Student","Southend, Essex"
"Ruby Tandoh",4,7,"IN",2,"Plum Jam Roly-Polywith Ginger Ice cream","Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts",20,"History of Art and Philosophy Student","Southend, Essex"
"Ruby Tandoh",4,8,"STAR BAKER",1,"Mango and Nigella Seed Spelt Cob","Carrot Cake and Pistachio Garden Plot",20,"History of Art and Philosophy Student","Southend, Essex"
"Ruby Tandoh",4,9,"IN",4,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",20,"History of Art and Philosophy Student","Southend, Essex"
"Ruby Tandoh",4,10,"Runner-up",2,"Picnic Basket Pie","Raspberry, Lemon and Passion Fruit Wedding Cake",20,"History of Art and Philosophy Student","Southend, Essex"
"Toby Waterworth",4,1,"OUT",13,"Spiced and Iced Carrot Cake","Two Tiered Chocolate Cake",30,"Web Programmer","Reading, Berkshire"
"Chetna Makan",5,1,"IN",3,"Cardamom, Pistachio and Coffee Swiss Roll","Tiered Victoria Sponges with Lemon Curd and Raspberry Cream",35,"Fashion Designer","Broadstairs, Kent"
"Chetna Makan",5,2,"IN",8,"Fenugreek and Carom Crackers","Day On The Beach",35,"Fashion Designer","Broadstairs, Kent"
"Chetna Makan",5,3,"IN",8,"Onion and Pine Nut Rolls","Rolled and Filled Twin Loaf",35,"Fashion Designer","Broadstairs, Kent"
"Chetna Makan",5,4,"IN",3,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",35,"Fashion Designer","Broadstairs, Kent"
"Chetna Makan",5,5,"IN",2,"Rice Custard Tart with Mangoes and Raspberries","Fusion Tiered Pies",35,"Fashion Designer","Broadstairs, Kent"
"Chetna Makan",5,6,"STAR BAKER",2,"Orange Savarin with Cinnamon Cream","Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream",35,"Fashion Designer","Broadstairs, Kent"
"Chetna Makan",5,7,"IN",6,"Crispy Lentil Kachori","Chocolate and Mango & Lemon Meringue Éclairs",35,"Fashion Designer","Broadstairs, Kent"
"Chetna Makan",5,8,"IN",1,"Date and Walnut Swirl Bread","Chocolate Mousse Filled DoughnutsBraided Doughnuts",35,"Fashion Designer","Broadstairs, Kent"
"Chetna Makan",5,9,"OUT",4,"Chocolate Orange Baklava Masala Chai Baklava","Chocolate, Orange & Nut EntremetsCappuccino Entremets",35,"Fashion Designer","Broadstairs, Kent"
"Claire Goodwin",5,1,"OUT",8,"Chocolatey Orangey Swirly Roll","Mini Chocolate and Cherry Cakes",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"Diana Beard",5,1,"IN",5,"Mum's Sunday Tea Lemon Curd Swiss Roll","Chocolate Ganache Surprises",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"Diana Beard",5,2,"IN",7,"Parmesan Triangles","Express, First Class",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"Diana Beard",5,3,"IN",7,"Rustic Picnic Rolls","Sharing Savoury Pinwheel",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"Diana Beard",5,4,"IN",9,"Orange and Lemon Curd Pots","Raspberry Ripple Alaska Swan",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"Diana Beard",5,5,"WD",NA,NA,NA,69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"Diana Beard",5,6,"IN",NA,NA,NA,69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"Diana Beard",5,7,"IN",NA,NA,NA,69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"Diana Beard",5,8,"IN",NA,NA,NA,69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"Diana Beard",5,9,"IN",NA,NA,NA,69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"Diana Beard",5,10,"IN",NA,NA,NA,69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"Enwezor Nzegwu",5,1,"IN",9,"Raspberry and Lemon Swiss Roll","Coffee and Walnut Battenberg Squares",39,"Business Consultant","Portsmouth, Hampshire"
"Enwezor Nzegwu",5,2,"OUT",9,"Pumpkin and Sunflower Savoury Biscuits","Space Adventure Moon Scene",39,"Business Consultant","Portsmouth, Hampshire"
"Iain Watters",5,1,"IN",4,"Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream","Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",31,"Construction Engineer","London/Belfast"
"Iain Watters",5,2,"IN",11,"Za'atar and Fig Biscuits","Wild West Scene",31,"Construction Engineer","London/Belfast"
"Iain Watters",5,3,"IN",9,"Cranberry and Walnut Rye Bread Rolls","Moroccan Plaited with a Bessara Dip",31,"Construction Engineer","London/Belfast"
"Iain Watters",5,4,"OUT",6,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",31,"Construction Engineer","London/Belfast"
"Jordan Cox",5,1,"IN",12,"Kawaii Frasier Swiss Roll","Lemon Drizzle Cakes with Blueberry and Lemon Curd",32,"IT Manager","Sneinton, Nottingham"
"Jordan Cox",5,2,"IN",6,"Sourdough, Parmesan and Chilli Biscuits","Monster Attack",32,"IT Manager","Sneinton, Nottingham"
"Jordan Cox",5,3,"OUT",10,"Rye and Spelt Bread Rolls","Strawberry Raspberry Cheesecake Brioche",32,"IT Manager","Sneinton, Nottingham"
"Kate Henry",5,1,"IN",6,"Red Velvet and White Chocolate Swiss Roll","Mini Tiered Victoria Sponges",41,"Furniture Restorer","Brighton, East Sussex"
"Kate Henry",5,2,"IN",4,"Parmesan and Apple Biscuits","Tea Time",41,"Furniture Restorer","Brighton, East Sussex"
"Kate Henry",5,3,"IN",1,"Orange and Cardamom Rye Bread Knots","Prosciutto, Olive and Coriander Bread",41,"Furniture Restorer","Brighton, East Sussex"
"Kate Henry",5,4,"IN",7,"Chocolate and Salted Caramel Molten Puddings","Pistachio, Raspberry and Chocolate Baked Alaska",41,"Furniture Restorer","Brighton, East Sussex"
"Kate Henry",5,5,"STAR BAKER",3,"Rhubarb and Custard Tart","Rhubarb, Prune and Apple Pies",41,"Furniture Restorer","Brighton, East Sussex"
"Kate Henry",5,6,"IN",6,"Pecan, Chocolate and Sour Cherry Yeast Cake","Trio of Dobos Tortes",41,"Furniture Restorer","Brighton, East Sussex"
"Kate Henry",5,7,"OUT",4,"Spinach and Paneer Spicy Samosa","Neapolitan & Lemon Meringue Éclairs",41,"Furniture Restorer","Brighton, East Sussex"
"Luis Troyano",5,1,"IN",7,"Spanish Swiss Roll","Raspberry and Lemon Genoise Slices with Lemon Drizzles",42,"Graphic Designer","Poynton, Cheshire"
"Luis Troyano",5,2,"IN",3,"Black Olive and Rosemary Biscuits with Caramelised Onion Glaze","George Versus The Dragon",42,"Graphic Designer","Poynton, Cheshire"
"Luis Troyano",5,3,"STAR BAKER",2,"Opposites Attract Rolls","Roscón de Reyes",42,"Graphic Designer","Poynton, Cheshire"
"Luis Troyano",5,4,"IN",2,"Pears in Puddings","Bakewell Alaska",42,"Graphic Designer","Poynton, Cheshire"
"Luis Troyano",5,5,"IN",6,"Tropical Manchester Tart","Four Fruity Seasons Tower",42,"Graphic Designer","Poynton, Cheshire"
"Luis Troyano",5,6,"IN",3,"Apple and Cinnamon Kugelhopf with Honeyed Apples","The Cage on the Rocky Hill",42,"Graphic Designer","Poynton, Cheshire"
"Luis Troyano",5,7,"IN",5,"Childhood Empanadas","Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",42,"Graphic Designer","Poynton, Cheshire"
"Luis Troyano",5,8,"IN",2,"Black Forest Cherry Tree","Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",42,"Graphic Designer","Poynton, Cheshire"
"Luis Troyano",5,9,"IN",1,"Indian Rose BaklavaHalwa Baklava Rolls","Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",42,"Graphic Designer","Poynton, Cheshire"
"Luis Troyano",5,10,"Runner-up",2,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese","Village in Chocolate",42,"Graphic Designer","Poynton, Cheshire"
"Martha Collison",5,1,"IN",2,"Tiramisu Swiss Roll","Mini Lemon and Thyme Drizzle Cakes",17,"Student","Ascot, Berkshire"
"Martha Collison",5,2,"IN",5,"Caramelised Onion and Goat's Cheese Sandwich Biscuits","Ski Village Scene",17,"Student","Ascot, Berkshire"
"Martha Collison",5,3,"IN",3,"Date and Walnut Rye Rolls","Stuffed Sunflower Loaf",17,"Student","Ascot, Berkshire"
"Martha Collison",5,4,"IN",1,"Peanut Butter Chocolate Fondants","Key Lime Baked Alaska",17,"Student","Ascot, Berkshire"
"Martha Collison",5,5,"IN",1,"Pistachio, Apricot and Honey Custard Tart","Three Little Pigs Pie",17,"Student","Ascot, Berkshire"
"Martha Collison",5,6,"IN",4,"Dark Chocolate and Almond Liqueur Savarin","Chess-Themed Chocolate and Salted Caramel Dobos Torte",17,"Student","Ascot, Berkshire"
"Martha Collison",5,7,"IN",3,"Mini Beef Wellingtons","Rhubarb and Custard & Maple Syrup and Bacon Éclairs",17,"Student","Ascot, Berkshire"
"Martha Collison",5,8,"OUT",5,"Spiced Plum Iced Bread Swirl","Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts",17,"Student","Ascot, Berkshire"
"Nancy Birtwhistle",5,1,"STAR BAKER",1,"Coffee and Hazelnut Swiss Roll","Jaffa Orange Cakes",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"Nancy Birtwhistle",5,2,"IN",2,"Fennel and Rye Thins","Hansel and Gretel Scene",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"Nancy Birtwhistle",5,3,"IN",5,"Cider and Walnut Crusty Rolls","'Full English' Stromboli",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"Nancy Birtwhistle",5,4,"IN",4,"Pistachio Puddings with Chocolate Sauce","Summer Pudding Alaska",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
